Titel,Synonyms,Brand Names
"Erythromycin","EM; Erythrocin; Erythrocin Stearate; Erythromycin estolate; Erythromycin ethylsuccinate; Erythromycin glucoheptonate; Erythromycin lactobionate; Erythromycin oxime; Erythromycin Stearate","Abboticin; Abomacetin; Ak-mycin; Akne-Mycin; Aknin; Benzamycin; Benzamycin Pak; Bristamycin; Dotycin; Dumotrycin; E-Base; E-Glades; E-Mycin; E-Solve 2; Emgel; EMU; Eritrocina; Ermycin; Ery-Sol; Ery-Tab; Eryc; Eryc 125; Eryc Sprinkles; Erycen; Erycette; Erycin; Erycinum; Eryderm; Erygel; Erymax; Erypar; Erythra-Derm; Erythro; Erythro-Statin; Erythrogran; Erythroguent; Erythromast 36; Erythromid; Erythromycin A; Erythromycin B; Ethril 250; ETS; Ilocaps; Ilosone; Ilotycin; Ilotycin Gluceptate; IndermRetcin; Kesso-Mycin; Mephamycin; Pantomicina; Pce; Pfizer-e; Propiocine; R-P Mycin; Robimycin; Sansac; Serp-AFD; Stiemycin; Taimoxin-F; Theramycin Z; Torlamicina; Wemid; Wyamycin S"
"Hydroxocobalamin","Hydroxocobalamin acetate; Hydroxocobalamin monohydrochloride; Hydroxocobalamin Vitamin B12; Hydroxocobalaminacetat; Hydroxomin; Vitamin B12a","Acti-B12; Alpharedisol; Cyanokit; Hydro Cobex; Hydroxy Cobal"
"Caffeine","Cafeina; Caffein; Caffeine Pure; Caffeine, Anhydrous; Caffeine, Monohydrate; Caffeine, Synthetic; CFF; Compound 65; Methyltheobromide; Methyltheobromine; Monomethyl Derivative of Theophylline; Theobromine ME; Theophylline ME","Alert-Pep; Anoquan; Cafamil; Cafcit; Cafecon; Caffedrine; Caffedrine Caplets; Caffine; Cafipel; Coffein; Coffeine; Darvon Compound; Darvon Compound-65; Dasin; Dexitac; Dexitac Stay Alert Stimulant; Dhc Plus; Diurex; Durvitan; Eldiatric C; Enerjets; Ercatab; Esgic; Esgic-Plus; Femcet; Fioricet; Fiorinal; Guaranine; Hycomine; Invagesic; Invagesic Forte; Keep Alert; Kofein; Koffein; Lanorinal; Mateina; Maximum Strength Snapback Stimulant Powders; Medigesic Plus; Migergot; Miudol; Natural Caffeinum; Nix Nap; No-Doz; Nodaca; Nodoz Maximum Strength Caplets; Norgesic; Norgesic Forte; Organex; Orphengesic; Orphengesic Forte; Pep-Back; Phensal; Propoxyphene Compound 65; Propoxyphene Compound-65; Quick Pep; Refresh'n; SK 65 Compound; Stim; Synalgos-Dc; Thein; Theine; Triad; Ultra Pep-Back; Vivarin; Wake-Up; Wigraine"
"Succinylcholine","Scoline; Succinylcholine Chloride; Suxamethonium chloride","Anectine; Quelicin; Quelicin Preservative Free; Sucostrin"
"Sildenafil","Sildenafil Citrate","Revatio; Viagra"
"Dofetilide","Dofetilida [INN-Spanish]; Dofetilidum [INN-Latin]","Dofetilida; Tikosyn"
"Pyrimethamine","CD; Chloridin; Chloridine; Chloridyn; Diaminopyritamin; Ethylpyrimidine; Pirimetamin; Pirimetamina; Primethamine; Pyremethamine; Pyrimethamin; Pyrimethamine Hcl","Darachlor; Daraclor; Darapram; Daraprim; Daraprime; Disulone; Erbaprelina; Fansidar; Khloridin; Malacid; Malocid; Malocide; Maloprim; Pirimecidan; Tindurin; Tinduring"
"Reserpine",,"Cam-Ap-Es; Demi-Regroton; Diupres-250; Diupres-500; Diutensen-R; Dralserp; Hiserpia; Hydrap-ES; Hydromox R; Hydroserpine Plus (R-H-H); Metatensin #2; Metatensin #4; Naquival; Novoreserpine; Rau-Sed; Regroton; Renese-R; Reserfia; Salutensin; Salutensin-Demi; Sandril; Ser-A-Gen; Serpalan; Serpanray; Serpasil; Serpasil-Apresoline; Serpasil-Esidrix #1; Serpasil-Esidrix #2; Serpate; Serpivite; Unipres"
"Azithromycin","Aritromicina [Spanish]; Azithramycine; Azithromycin Dihydrate; Azithromycine [French]; Azithromycinum [Latin]","Azenil; Azibiot; Azifine; Azitromax; Aziwok; Aztrin; Hemomycin; Misultina; Mixoterin; Setron; Sumamed; Tobil; Tromix; Vinzam; Zeto; Zifin; Zithrax; Zithromax; Zitrim; Zitrocin; Zitromax; Zitrotek; Zmax"
"Ticlopidine","Ticlopidine HCL; Ticlopidine Hydrochloride","Ticlid"
"Trospium","Trospium","Sanctura; Spasmex; Spasmoplex; Trosec"
"Adapalene","Adapaleno [INN-Spanish]; Adapalenum [INN-Latin]","Adaferin; Differin"
"Midodrine","Midodrin; Midodrina [INN-Spanish]; Midodrine HCL; midodrine hydrochloride; Midodrinum [INN-Latin]","ProAmatine"
"Remikiren","Ro 42-5892",
"Pantoprazole","Pantoprazol [INN-Spanish]; Pantoprazole Na; Pantoprazole Sodium; Pantoprazolum [INN-Latin]; Pantoprozole","Astropan; Pantoloc; Pantopan; Pantor; Pantozol; Protium; Protonix; Protonix I.V.; Protonix IV"
"Torasemide","Torasemida [INN-Spanish]; Torasemidum [INN-Latin]; Torsemide","Demadex; Luprac"
"Citalopram","Citalopram Hydrobromide; Citalopramum [INN-Latin]","Akarin; Celapram; Celexa; Celius; Ciazil; Cilift; Cimal; Cipram; Cipramil; Ciprapine; Citabax; Citalec; Citol; Citopam; Citox; Citrol; Dalsan; Elopram; Humorup; Nitalapram; Oropram; Pramcit; Recital; Seropram; Talam; Talohexal; Temperax; Vodelax; Zentius; Zetalo"
"Eletriptan","eletriptan","Relpax"
"Bethanidine","Betanidin; Betanidine; Bethanidine sulfate","Esbatal; Regulin; Tenathan"
"Moxifloxacin","BAY 12-8039; moxifloxacin; Moxifloxacin HCl; Moxifloxacin hydrochloride","Avelox; Avelox I.V.; Vigamox"
"Oxyphenonium","DCF; Hydroxymethylgramicidin; Methocidin [Dcf:Inn]; Methocidine [INN-French]; Methocidinum [INN-Latin]; Metocidina [INN-Spanish]; Oxiphenonum; Oxyphenonium Bromide","Antrenyl; Argicillin; Methacin; Methocidin"
"Nelfinavir","1UN; AG1343; Nelfinavir mesylate; NFV; NLF","Viracept"
"Isoetharine","Isoetarina [INN-Spanish]; Isoetarinum [INN-Latin]; Isoetharine Hcl; Isoetharine mesylate","Beta-2; Bronkometer; Bronkosol; Dey-Lute Isoetharine; Dilabron; Etyprenaline; Isoetarin; Isoetarine; Isoetharine HCl S/F; Neoisuprel"
"Glimepiride","Glimepirid; Glimepirida; Glimepiridum; Glimepride","Amarel; Amaryl; Endial; Novo-glimepiride; PMS-glimepiride; Ratio-glimepiride; Sandoz glimepiride"
"Diflorasone","Diflorasone Diacetate","Florone; Florone E; Maxiflor; Psorcon"
"Indinavir","Compound J; Indinavir sulfate","Crixivan"
"Gadodiamide","Gadodiamide hydrate","Omniscan"
"Guanadrel Sulfate","Guanadrelum [INN-Latin]","Guanadrel; Hylorel"
"Lovastatin","6 alpha-Methylcompactin; lovastatin; Lovastatina [Spanish]; Lovastatine [French]; Lovastatinum [Latin]","Altocor; Altoprev; Artein; Belvas; Cholestra; Closterol; Colevix; Hipolip; Hipovastin; Lestatin; Lipdip; Lipivas; Lipofren; Lovalip; Lovalord; Lovasterol; Lovastin; Lozutin; Mevacor; Mevinacor; Mevlor; Monacolin K; Nergadan; Paschol; Rodatin; Rovacor; Sivlor; Taucor; Tecnolip; Teroltrat"
"Enflurane","Anesthetic 347; Anesthetic Compound No. 347; Compound 347; Enflurano [INN-Spanish]; Enfluranum [INN-Latin]; Methylflurether; Ohio 347","Alyrane; Efrane; Ethrane"
"Cefotiam","Cefotiam hydrochloride; Cefotiamum [INN-Latin]; CTM","Ceradon"
"Pregabalin","pregabalin","Lyrica"
"Temazepam","Hydroxydiazepam; Methyloxazepam; N-Methyloxazepam; Oxydiazepam","Apo-Temazepam; Cerepax; Crisonar; Euhypnos; Euipnos; Gelthix; Levanxene; Levanxol; Levanzene; Mabertin; Normison; Novo-Temazepam; Perdorm; Planum; Remestan; Restoril; Signopam; Temaz"
"Methyclothiazide","Methychlothiazide; Methyclothiazid; Methycyclothiazide; Methylchlorothiazide; Methylclothiazide; Methylcyclothiazide","Aquaresen; Aquatensen; Duretic; Enduron; Enduronum"
"Aminosalicylic Acid","4-aminosalicylic acid; 4-ASA; Amino-PAS; Aminosalicylate Sodium; APAS; P-Aminosalicylic Acid; Para-Amino Salicylic Acid; Para-aminosalicylic acid; PAS; PASK","Aminopar; Aminox; Apacil; Deapasil; Entepas; Ferrosan; Gabbropas; Hellipidyl; Kyselina P-Aminosalicylova; Neopasalate; Osacyl; Pamacyl; Pamisyl; Para-Pas; Paramycin; Parasal; Parasalicil; Parasalindon; PAS-C; Pasa; Pasalon; Pasara; Pascorbic; Pasdium; Pasem; Paser; Pasmed; Pasnodia; Pasolac; Propasa; Rezipas; Sanipirol-4; Sanipriol-4"
"Reboxetine","reboxetine; Reboxetine mesylate","Davedax; Edronax; Norebox; Prolift; Solvex; Vestra"
"Milrinone","Milrinone Lactate","Corotrop; Corotrope; Milrila; Primacor"
"Pipobroman",,"Amedel; Vercyte"
"Butabarbital","Butabarbital Sodium; Butabarbitone; Butrate; Secbubarbital; Secbutabarbital; Secbutobarbital; Secbutobarbitone; Sodium Butabarbital","Butabarb; Butalan; Butatab; Butatal; Buticaps; Butisol; Butisol Sodium; Medarsed; Nilox; Sarisol; Sarisol No. 1; Unicelles"
"Nevirapine","NEV; NVP","Viramune"
"Oxiconazole","Oxiconazol [INN-Spanish]; Oxiconazole Nitrate; Oxiconazolum [INN-Latin]","Oxistat"
"Alclometasone","Alclometasone dipropionate","Aclovate"
"Butalbital","Allylbarbital; Butalbital M (OH)",
"Cladribine","2-CdA; 2-Chloro-2'-deoxy-beta-adenosine; 2-Chloro-2'-deoxyadenosine; 2-Chlorodeoxyadenosine; Chlorodeoxyadenosine; cladribine","Leustatin; Mylinax"
"Ranolazine","(-)-Ranolazine; ranolazine; Ranolazine 2HCl; Ranolazine Dihydrochloride","Ranexa"
"Mesalazine","5-aminosalicylate; 5-aminosalicylic acid; 5-ASA; Mesalamine","Asacol; Asacolitin; Canasa; Claversal; Fisalamine; Lixacol; Mesasal; Pentasa; Rowasa; Salofalk"
"Benztropine","Benzatropina [INN-Spanish]; Benzatropine; Benzatropine mesilate; Benzatropinum [INN-Latin]; Benztropine Mesylate; Benztropinum; Tropine Benzohydryl Ether","Akitan; Apo-Benztropine; Cobrentin; Cogentin; Cogentinol; PMS Benztropine"
"Ziprasidone","Ziprasidone hydrochloride; Ziprasidone mesylate trihydrate","Geodon; Geodon Oral; Zeldox"
"Methysergide","Methyllysergic acid butanolamide; Methysergid; Methysergidum [INN-Latin]; Metisergide [DCIT]; Metisergido [INN-Spanish]; N-(1-(Hydroxymethyl)propyl)-1-methyl-dextro-(+)-lysergamide; N-(alpha-(Hydroxymethyl)propyl)-1-methyl-dextro-lysergamide","Deseril; Desernil; Desernyl; Deseryl; Sansert"
"Cabergoline","Cabergolina [Spanish]; Cabergolinum [Latin]","Cabaser; Dostinex"
"Idoxuridine","5-Iododeoxyuridine; 5IDU; 5IUDR; Allergan 201; Allergan 211; ID2; Idossuridina [DCIT]; Idoxuridin; IDU; IDUR; Iododeoxyridine; Iodoxuridine; IUDR","Antizona; Dendrid; Emanil; Heratil; Herpe-Gel; Herpes-Gel; Herpesil; Herpid; Herpidu; Herplex; Herplex Liquifilm; Idexur; Idoxene; Idu Oculos; Iducher; Idulea; Iduridin; Iduviran; Joddeoxiuridin; Kerecid; Ophthalmadine; Spectanefran; Stoxil; Synmiol; Virudox"
"Dapsone","Acedapsone; DADPS; Dapson; dapsone; Dapsonum; DDS; Dds, Diaphenylsulfone; Dds, Pharmaceutical; Diamino-diphenyl sulphone; Diaminodifenilsulfona; Diaminodiphenyl Sulfone; Diaphenylsulfon; Diaphenylsulfone; Diaphenylsulphon; Diaphenylsulphone; Diphenasone; DSS; Metabolite C; N, N'-Diphenyl Sulfondiamide; P-Aminophenyl Sulfone; P, P'-Sulfonyldianiline; P,P-Diaminodiphenyl Sulphone; P,P-Sulfonylbisbenzamine; P,P-Sulfonylbisbenzenamine; P,P-Sulphonylbisbenzamine; P,P-Sulphonylbisbenzenamine; P,P-Sulphonyldianiline; P,P'-Diaminodiphenyl Sulfone; Sulfonyldianiline; Sulphadione; Sulphonyldianiline","Araldite Ht; Avlosulfon; Avlosulfone; Avlosulphone; Croysulfone; Croysulphone; Dimitone; Diphone; Dubronax; Dumitone; Eporal; ICI; Normet; Novophone; Recolip; Sulfadione; Sulfanona-Mae; Sulfon-Mere; Sulfona; Sulfona-Mae; Sulfone Ucb; Sulphon-Mere; Sumicure S; Tarimyl; Udolac"
"Terconazole","Triaconazole","Fungistat; Gyno-Terazol; Terazol; Terazol 3; Terazol 7; Tercospor"
"Phenytoin","5,5-diphenylhydantoin; 5,5-Dwufenylohydantoina; Difenilhidantoina [Spanish]; Dihydantoin; Diphenylan Sodium; Diphenylhydantoin; Diphenylhydantoine [French]; Diphenylhydatanoin; DPH; Fenitoina [INN-Spanish]; Phenytoin Sodium; Phenytoine; Phenytoine [INN-French]; Phenytoinum [INN-Latin]","Aleviatin; Antisacer; Auranile; Causoin; Citrullamon; Citrulliamon; Comital; Comitoina; Convul; Danten; Dantinal; Dantoinal; Dantoinal klinos; Dantoine; Denyl; Di-Hydan; Di-Lan; Di-Phetine; Didan TDC 250; Difenilhidantoina; Difenin; Difetoin; Difhydan; Dihycon; Dilabid; Dilantin; Dilantin acid; Dilantin-125; Dilantine; Dillantin; Dintoin; Dintoina; Diphantoin; Diphedal; Diphedan; Diphenat; Diphenin; Diphenine; Diphentoin; Diphentyn; Diphenylan; Ditoinate; Ekko; Elepsindon; Enkelfel; Epamin; Epanutin; Epasmir 5; Epdantoin Simple; Epdantoine simple; Epelin; Epifenyl; Epihydan; Epilan; Epilan D; Epilan-D; Epilantin; Epinat; Epised; Eptal; Eptoin; Fenantoin; Fenidantoin s; Fentoin; Fenylepsin; Fenytoin Dak; Fenytoine; Gerot-epilan-D; Hidan; Hidantal; Hidantilo; Hidantina; Hidantina senosian; Hidantina vitoria; Hidantomin; Hindatal; Hydantal; Hydantin; Hydantoin; Hydantoinal; Hydantol; Ictalis simple; Idantoil; Idantoin; Iphenylhydantoin; Kessodanten; Labopal; Lehydan; Lepitoin; Lepsin; Mesantoin; Minetoin; Neos-Hidantoina; Neosidantoina; Novantoina; Novophenytoin; Om hidantoina simple; Om-Hydantoine; Oxylan; Phanantin; Phanatine; Phenatine; Phenatoine; Phenhydan; Phenhydanin; Phenitoin; Phentoin; Phentytoin; Phenytex; Phenytoin AWD; Phenytoin-Gerot; Prompt Phenytoin Sodium; Ritmenal; Saceril; Sanepil; Silantin; Sinergina; Sodanthon; Sodantoin; Sodanton; Solantin; Solantoin; Solantyl; Sylantoic; Tacosal; Thilophenyl; TOIN; Toin unicelles; Zentronal; Zentropil"
"Medrysone","Hydroxymesterone","HMS; HMS Liquifilm; Medrifar; Medritonic; Medrocort; Visudrisone"
"Doxycycline","Doxcycline anhydrous; Doxycycline Hyclate; Doxycycline Monohydrate; Doxytetracycline","Alti-Doxycycline; Apo-Doxy; Atridox; Doryx; Doxy 100; Doxy-Caps; Doxy-Lemmon; Doxychel; Doxychel Hyclate; Doxycin; Doxylin; Doxytec; Jenacyclin; Monodox; Novo-Doxylin; Nu-Doxycycline; Oracea; Periostat; Supracyclin; Vibra-Tabs; Vibramycin"
"Diethylstilbestrol","DEB; DES; Diethylstilbesterol; Diethylstilbestrol BP; Diethylstilboesterol; Dietilestilbestrol; Percutatrine oestrogenique iscovesco; Rcra waste number U089; trans-Diethylstilbesterol; trans-Diethylstilbestrol; trans-Diethylstilboesterol","Acnestrol; Agostilben; Antigestil; Bio-des; Bufon; Climaterine; Comestrol; Comestrol estrobene; Cyren; Cyren A; Dawe's destrol; Desma; Destrol; Di-Estryl; Diastyl; Dibestrol; DiBestrol 2 Premix; Dicorvin; Distilbene; Domestrol; Dyestrol; Estilben; Estilbin MCO; Estril; Estrobene; Estrogenine; Estromenin; Estrosyn; Follidiene; Fonatol; Grafestrol; Gynopharm; Hi-Bestrol; Idroestril; Iscovesco; Makarol; Menostilbeen; Micrest; Microest; Milestrol; neo-Oestranol 1; Neo-Oestranol I; New-Estranol 1; OeKolp; Oestrogenine; Oestrol vetag; Oestromenin; Oestromensil; Oestromensyl; Oestromienin; Oestromon; Pabestrol; Palestrol; Protectona; Rumestrol 1; Rumestrol 2; Sedestran; Serral; Sexocretin; Sibol; Sintestrol; Stibilium; Stil; Stil-Rol; Stilbestroform; Stilbestrol; Stilbestrone; Stilbetin; Stilboefral; Stilboestroform; Stilboestrol; Stilbofolin; Stilbofollin; Stilbol; Stilkap; Stilphostrol; strobene; Synestrin; Synthestrin; Synthoestrin; Synthofolin; Syntofolin; Tampovagan stilboestrol; Tylosterone; Vagestrol"
"Lymecycline","7-Chlorotetracycline; Chlorotetracycline; Chlorotetracycline hydrochloride; Chlortetracyclin; Chlortetracycline; Chlortetracycline hydrochloride; Chlortetracyclinium chloride; CLTC","Acronize; Acronize PD; Aureocarmyl; Aureociclin; Aureociclina; Aureocina; Aureocycline; Aureomicina; Aureomycin; Aureomycin A-377; Aureomycin hydrochloride; Aureomycin monohydrochloride; Aureomykoin; Aurofac; Aurofac 10; Auxeomycin; B-Aureo; Biomitsin; Biomitsin hydrochloride; Biomycin A; Biomycin hydrochloride; Biovetin; Centraureo; Chrusomykine; Chrysomykine; Clorocipan; Duomycin; Flamycin; Isphamycin; Orospray; Psittacin hydrochloride; Tetra 5; Tetralysal; Tetrlysal 300; Tocopherex"
"Clotrimazole","Chlotrimazole; Clotrimazol","Canesten; Canesten 1-Day Cream Combi-Pak; Canesten 1-Day Therapy; Canesten 3-Day Therapy; Canesten 6-Day Therapy; Canesten Combi-Pak 1-Day Therapy; Canesten Combi-Pak 3-Day Therapy; Canesten Cream; Canesten Solution; Canestine; Canifug; Cimitidine; Clotrimaderm; Empecid; FemCare; Gyne lotrimin; Gyne-lotrimin; Gyne-Lotrimin 3; Gyne-Lotrimin 3 Combination Pack; Gyne-Lotrimin Combination Pack; Gynix; Lotrimin; Lotrimin Af; Lotrimin AF Cream; Lotrimin AF Jock-Itch Cream; Lotrimin AF Lotion; Lotrimin AF Solution; Lotrimin Cream; Lotrimin Lotion; Lotrimin Solution; Mono-baycuten; Mycelax; Mycelex; Mycelex 7; Mycelex Cream; Mycelex G; Mycelex Solution; Mycelex Troches; Mycelex Twin Pack; Mycelex-7; Mycelex-7 Combination Pack; Mycelex-G; Myclo Cream; Myclo Solution; Myclo Spray Solution; Myclo-Gyne; Mycosporin; Mykosporin; Neo-Zol Cream; Trimysten; Trivagizole 3; Veltrim"
"Calcium Acetate","Acetic acid, calcium salt; Brown acetate; Brown acetate of lime; Calcium acetate hydrate; Calcium acetate monohydrate; Calcium diacetate; Gray acetate; Gray acetate of lime; Grey acetate; Lime acetate; Lime pyrolignite; Procalamine; Pyrolignite of lime; Vinegar salts","Calac; Niacet calcium acetate tech; PhosLo; PhosLo Gelcaps; Sorbo-calcian; Sorbo-calcion; Teltozan"
"Sulfanilamide","P-Aminobenzenesulfamide; P-Aminobenzenesulfonamide; P-Aminobenzenesulfonylamide; P-Aminobenzensulfonamide; P-Aminophenylsulfonamide; P-Anilinesulfonamide; P-Sulfamidoaniline; P-Sulfamoylaniline; PABS; Sulfanilimidic Acid; Sulfonylamide; Sulphanilamide; Sulphonamide","Albexan; Albosal; Ambeside; Antistrept; Astreptine; Astrocid; AVC; Bacteramid; Bactesid; Collomide; Colsulanyde; Copticide; Deseptyl; Desseptyl; Dipron; Ergaseptine; Erysipan; Estreptocida; Exoseptoplix; Fourneau 1162; Gerison; Gombardol; HSDB 223; Infepan; Lusil; Lysococcine; Neococcyl; Orgaseptine; Prontalbin; Prontosil Album; Prontosil I; Prontosil White; Prontylin; Pronzin Album; Proseptal; Proseptine; Proseptol; Pysococcine; Rubiazol A; Sanamid; Septamide Album; Septanilam; Septinal; Septolix; Septoplex; Septoplix; Stopton Album; Stramid; Strepamide; Strepsan; Streptagol; Streptamid; Streptamin; Streptasol; Streptocid; Streptocid Album; Streptocide; Streptocide White; Streptocidum; Streptoclase; Streptocom; Streptol; Strepton; Streptopan; Streptosil; Streptozol; Streptozone; Streptrocide; Sulfamidyl; Sulfamine; Sulfana; Sulfanalone; Sulfanidyl; Sulfanil; Sulfanilamide Vaginal Cream; Sulfocidin; Sulfocidine; Sulfonamide; Sulfonamide P; Sulphanilamide Extra Pure; Sulphanilamide Gr; Therapol; Tolder; White Streptocide"
"Cycloserine","alpha-Cycloserine; Cicloserina; D-CS; D-Cycloserine; D-Cycloserine synth. BP 88; D-Cycloserine, synthetic; D-Oxamicina; D-Oxamycin; DL-Cycloserine; L-Cycloserine","Closerin; Closina; Cyclomycin; Cyclorin; Cycloserin; Farmiserina; Farmiserine; Micoserina; Miroserina; Miroseryn; Novoserin; Orientomycin; Oxamicina; Oxamycin; Oxymycin; Seromycin; Tebemicina; Tisomycin; Wasserina"
"Anagrelide","Anagrelide HCL; Anagrelide Hydrochloride; BL-4162A","Agrylin; Xagrid"
"Carmustine","BCNU; Bischlorethylnitrosourea; Bischlorethylnitrosurea; Carmustin","Becenun; Bi CNU; BiCNU; Carmubris; Gliadel; Gliadel Wafer; Nitrumon"
"Sulfisoxazole","Sulfadimethylisoxazole; Sulfafurazol; Sulfafurazole; Sulfaisoxazole; Sulfasoxazole; Sulfisonazole; Sulfisoxasole; Sulfisoxazol; Sulfisoxazole Dialamine; Sulfisoxazole Diolamine; Sulfofurazole; Sulphafurazol; Sulphafurazole; Sulphafurazolum; Sulphaisoxazole; Sulphisoxazol; Sulphofurazole","Accuzole; Alphazole; Amidoxal; Astrazolo; Azo Gantrisin; Azosulfizin; Bactesulf; Barazae; Chemouag; Cosoxazole; Dorsulfan; Dorsulfan Warthausen; Entusil; Entusul; G-Sox; Ganda; Gantrisin; Gantrisine; Gantrisona; Gantrosan; Isoxamin; J-Sul; Koro-Sulf; Neazolin; Neoxazol; Norilgan-S; Novazolo; Novosaxazole; Pancid; Renosulfan; Resoxol; Roxosul; Roxosul Tablets; Roxoxol; Saxosozine; SI; Sk-Soxazole; Sodizole; Sosol; Soxamide; Soxazole; Soxisol; Soxitabs; Soxo; Soxomide; Stansin; Sulbio; Sulfagan; Sulfagen; Sulfalar; Sulfapolar; Sulfasan; Sulfasol; Sulfazin; Sulfisin; Sulfizin; Sulfizol; Sulfizole; Sulfoxol; Suloxsol; Sulphafuraz; Sulsoxin; Thiasin; Tl-Azole; Unisulf; Urisoxin; Uritrisin; Urogan; V-Sul; Vagilia"
"Metoprolol","Metoprolol succinate; Metoprolol Tartrate","Beloc; Betaloc; Lopresor; Lopresoretic; Lopressor; Lopressor HCT; Metroprolol; Prelis; Selo-Zok; Seloken; Selopral; Toprol; Toprol XL; Toprol-XL"
"Crotamiton","Crotaglin; Crotalgin; Crotamitone","Crotamitex; Crotan; Eurasil; Eurax; Eurax Cream; Eurax Lotion; Euraxil; Veteusan"
"Dicumarol","BHC; Bis-Hydroxycoumarin; Bishydroxycoumarin; Dicoumarin; Dicoumarol","Acadyl; Acavyl; Antitrombosin; Baracoumin; Cuma; Cumid; Dicoumal; Dicuman; Dicumaol R; Dicumarine; Dicumol; Dikumarol; Dufalone; Kumoran; Melitoxin; Temparin; Trombosan"
"Cefmenoxime","Cefmenoxima [INN-Spanish]; Cefmenoxime hydrochloride; Cefmenoximum [INN-Latin]","Bestcall; Cefmax; Tacef"
"Ropinirole","Ropinirol [INN-Spanish]; ropinirole; Ropinirole HCl; Ropinirole hydrochloride; Ropinirolum [INN-Latin]","Requip; ReQuip CR; ReQuip XL"
"Chlorotrianisene","Chloortrianisestrol; Chlorestrolo; Chlorotrianisenum [INN-Latin]; Chlorotrianisine; Chlorotrianizen; Chlortrianisen; Chlortrianisene; Chlortrianisenum; Chlortrianisestrol; Chlortrianisoestrolum; Chlortrianizen; Clorotrianiseno [INN-Spanish]; CTA","Anisene; Chlorotrisin; Clorestrolo; Clorotrisin; Hormonisene; Khlortrianizen; Merbentul; Metace; Rianil; Tace; Tace-Fn; Trianisestrol"
"Isradipine","(+/-)-Isradipine; Isradipin; Isradipino [Spanish]; Isradipinum [Latin]; Isrodipine","Clivoten; DynaCirc; Dynacirc CR; DynaCire; DynaCire CR; Dynacrine; Esradin; Lomir; Prescal; Rebriden"
"Diatrizoate","Amidotrizoate; Amidotrizoic Acid; Diatriazoate; Diatrizoate sodium; Diatrizoate sodium salt; Diatrizoic acid; Diatrizoic acid sodium salt; Meglumine diatrizoate; Methalamic acid; Sodium amidotrizoate; Sodium diatrizoate; Urografin acid; Urogranoic acid","Angiovist 282; Cardiografin; Conray 35; Diat; Gastrografin; Hypaque; Iothalamate; Odiston; Reno-dip; Renografin 76; Triombrin; Triombrine; Urotrast; Urovison; Urovist Cysto; Urovist Cysto Pediatric; Urovist Sodium 300; Vascoray"
"Betazole","Ametazole; Betazol [INN-Spanish]; Betazolo [DCIT]; Betazolum [INN-Latin]","Histalog"
"Topiramate","Tipiramate [French]; Tipiramato [Spanish]; topiramate tablet; Topiramato [INN-Spanish]; Topiramatum [INN-Latin]; Topiramic acid","Topamax; Topamax Sprinkle"
"Cefmetazole","Cefmetazole sodium; Cefmetazolo [INN-Spanish]; Cefmetazolum [INN-Latin]","Zefazone"
"Olmesartan","DE-092; Olmesartan medoximil; Olmesartan medoxomil","Benicar; Benicar HCT; Olmetec; Votum"
"Amsacrine","Acridinyl Anisidide; M-AMSA; MAMSA","AMSA P-D; Amsidine; Amsidyl; Amsine"
"Theophylline","Dimethylxanthine; Pseudotheophylline; Theophyline; Theophyllin; Theophylline aminoacetate; Theophylline Anhydrous","Accurbron; Acet-Theocin; Aerobin; Aerolate; Aerolate III; Aerolate SR; Afonilm; Afonilum; Aquaphyllin; Armophylline; Asbron; Asmalix; Asmax; Austyn; Bilordyl; Bronchoretard; Bronkodyl; Bronkodyl SR; Cetraphylline; Choledyl SA; Chronophyllin; Constant T; Diffumal; Diphyllin; Doraphyllin; Duraphyl; Duraphyllin; Dyspne-Inhal; Egifilin; Elan; Elixex; Elixicon; Elixomin; Elixophyllin; Elixophyllin SR; Elixophylline; Etheophyl; Euphyllin; Euphylline; Euphylong; Labid; Lanophyllin; Lasma; Liquophylline; Liquorice; Maphylline; Medaphyllin; Nuelin; Optiphyllin; Parkophyllin; Physpan; Pro-Vent; Pulmidur; Pulmo-Timelets; Quibron; Quibron T; Quibron T/SR; Quibron-T; Quibron-T/SR; Respbid; Respicur; Respid; Slo-Bid; Slo-Phyllin; Solosin; Somophyllin CRT; Somophyllin T; Somophyllin-CRT; Somophyllin-DF; Somophyllin-T; Spophyllin Retard; Sustaire; Synophylate; Synophylate-L.A. Cenules; T-Phyl; Talotren; Tefamin; Telb-DS; Telbans Dry Syrup; Teocen 200; Teofilina; Teofyllamin; Teolair; Teonova; Teosona; Tesona; Theacitin; Theal Tablets; Theo 24; Theo-11; Theo-24; Theo-DS; Theo-Dur; Theo-Nite; Theo-Sav; Theobid; Theobid Duracap; Theobid Jr.; Theochron; Theocin; Theoclair-SR; Theoclear; Theoclear 80; Theoclear L.A.-130; Theoclear LA; Theoclear-200; Theoclear-80; Theocontin; Theodel; Theodrip; Theodur Dry Syrup; Theofol; Theograd; Theolair; Theolair-SR; Theolix; Theolixir; Theon; Theona P; Theopek; Theophyl; Theophyl-225; Theophyl-SR; Theophylline-SR; Theoplus; Theospan; Theostat; Theostat 80; Theotard; Theovent; Uni-Dur; Unifyl; Unilong; Uniphyl; Uniphyllin; Xanthium; Xantivent"
